index,scientific name,common name
1,Synodus spp.,lizardfish
2,Aulostomus chinensis,Chinese trumpetfish
3,Fistularia commersonii,smooth cornetfish
4,Sargocentron sp.,Hawaiian squirrelfish
5,Neoniphon sp.,spotfin squirrelfish
6,Myripristis berndti,bigscale soldierfish
7,Myripristis kuntee,epaulette soldierfish
8,Cephalopholis argus,peacock grouper
9,Cirrhitops fasciatus ,redbarred hawkfish
10,Cirrhitus pinnulatus,stocky hawkfish
11,Paracirrhites forsteri,blackside hawkfish
12,Paracirrhites arcatus,arceye hawkfish
13,Lutjanus kasmira,bluestripe snapper
14,Aphareus furca,smalltooth jobfish
15,Monotaxis grandoculis,bigeye emperor
16,Mulloidichthys flavolineatus,yellowstripe goatfish
17,Mulloidichthys vanicolensis,yellowfin goatfish
18,Parupeneus insularis,island goatfish
19,Parupeneus multifasciatus,manybar goatfish
20,Chaetodon auriga,threadfin butterflyfish
21,Chaetodon quadrimaculatus,fourspot butterflyfish
22,Chaetodon lunula,raccoon butterflyfish
23,Chaetodon ornatissimus,ornate butterflyfish
24,Chaetodon multicinctus,pebbled butterflyfish
25,Forcipiger flavissimus,forceps butterflyfish
26,Forcipiger longirostris,longnose butterflyfish
27,Hemitaurichthys thompsoni,Thompson's butterflyfish
28,Centropyge potteri,Potter's angelfish
29,Abudefduf abdominalis,Hawai'ian sergeant
30,Abudefduf vaigiensis,Indo-Pacific sergeant
31,Plectroglyphidodon imparipennis,bright-eye damselfish
32,Plectroglyphidodon johnstonianus,blue-eye damselfish
33,Plectroglyphidodon marginatus,Hawai'ian gregory
34,Dascyllus albisella,Hawai'ian dascyllus
35,Pycnochromis hanui,chocolate-dip chromis
36,Pycnochromis pacifica,Pacific agile (bronze) chromis
37,Pycnochromis vanderbilti,blackfin chromis
38,Chromis ovalis,oval chromis
39,Chromis verater,threespot chromis
40,Oxycheilinus unifasciatus,ringtail wrasse
41,Labroides phthirophagus,Hawai'ian cleaner wrasse
42,Bodianus albotaeniatus,Hawai'ian hogfish
43,Coris venusta,elegant coris
44, Coris gaimard,yellowtail coris
45,Macropharyngodon geoffroy,shortnose wrasse
46,Pseudocheilinus evanidus,disappearing wrase
47,Pseudocheilinus octotaenia,eight-lined wrasse
48,Pseudocheilinus tetrataenia,four-lined wrasse
49,Thalassoma ballieui,old woman wrasse
50,Thalassoma duperrey,saddle wrasse
51,Gomphosus varius,bird wrasse
52,Stethojulis balteata,belted wrasse
53,Halichoeres ornatissimus,ornate wrasse
54,Chlorurus spilurus,Pacific bullethead parrotfish
55,Chlorurus perspicillatus,spectacled parrotfish
56,Scarus rubroviolaceus,redlip parrotfish
57,Scarus psittacus,palenose parrotfish
58,Acanthurus triostegus,convict tang
59,Acanthurus leucopareius,whitebar surgeonfish
60,Acanthurus olivaceus,orangeband surgeonfish
61,Acanthurus dussumieri,whitespine surgeonfish
62,Acanthurus blochii,ringtail surgeonfish
63,Acanthurus achilles,Achilles tang
64,Acanthurus nigrofuscus,lavendar tang
65,Acanthurus nigroris,bluelined surgeonfish
66,Acanthurus thompsoni,Thompson's surgeonfish
67,Ctenochaetus strigosus,goldring surgreonfish
68,Ctenochaetus hawaiiensis,cheveron tang
69,Zebrasoma flavescens,yellow tang
70,Naso hexacanthus,sleek unicornfish
71,Naso lituratus,orangespine unicornfish
72,Naso unicornis,bluespine unicornfish
73,Zanclus cornutus,moorish idol
74,Cirripectes vanderbilti,scarface blenny
75,Exallias brevis,shortbodied blenny
76,Rhinecanthus rectangulus,Picasso triggerfish
77,Rhinecanthus aculeatus,lagoon triggerfish
78,Sufflamen bursa,boomerang triggerfish
79,Melichthys vidua,pinktail triggerfish
80,Melichthys niger,black durgon
81,Xanthichthys auromarginatus,bluethroated triggerfish
82,Cantherhines dumerilii,barred filefish
83,Pervagor aspricaudus,yellowtail filefish
84,Ostracion meleagris,spotted boxfish
85,Canthigaster amboinensis,ambon puffer
86,Canthigaster jactator,Hawai'ian whitespotted puffer
87,Arothron meleagris,spotted puffer
88,Diodon hystrix,spotted porcupinefish
89,Diodon holocanthus,spiny porcupinefish
